,question,answer,domain
7050,What is (are) accessory pulsatile organs (apos)?,Small muscular pumps and the veins that accompany them that pump hemolymph into the wings.,biology
7051,What is (are) acetyl choline?,"Alternative spelling of ""acetylcholine"".",biology
7052,What is (are) acrostichal bristles?,The two rows of hairs or bristles lying one on either side of the mid-line of the thorax of a true fly.,biology
7053,What is (are) active space?,"The space within which the concentration of a pheromone or other behaviorally active substance is concentrated enough to generate the required response, remembering that like light and sound pheromones become more dilute the further they radiate out from their source.",biology
7054,What is (are) aculeate?,"(Hymenoptera) Any member of a group of families that include the familiar stinging ants, bees, and social and hunting wasp.",biology
7055,What is (are) acuminate?,Tapering to a long point.,biology
7056,What is (are) acylurea?,A class of insect growth regulators.,biology
7057,What is (are) adecticous?,"Of pupa: the state in which the pupa does not possess movable mandibles, the opposite being decticous.",biology
7058,What is (are) adipocytes?,A major cell type of insects that stores fat body and reserves nutrients.,biology
7059,What is (are) admarginal?,(adjective): Along the margin.,biology
7060,What is (are) aedeagus?,The sclerotized terminal portion of the male genital tract that is inserted into the female during insemination. Its shape is often important in separating closely related species.,biology
7061,What is (are) aestivation?,"Summer dormancy, entered into when conditions are unfavourable for active life i.e. it is too hot or too dry.",biology
7062,What is (are) age polyethism?,The regular changing of roles of colony members as they get older.,biology
7063,What is (are) air sac?,A dilated portion of a trachea.,biology
7064,What is (are) alar squama?,The middle of three flap-like outgrowths at the base of the wing in various flies.,biology
7065,What is (are) alary muscles?,Muscles along the dorsal diaphragm that may drive circulation.,biology
7066,What is (are) alata?,"The parthenogenetic winged morph of vividae, specialized for migration.",biology
7067,What is (are) alate?,Winged; having wings.,biology
7068,What is (are) aldrin?,phytotoxicity Dieldrin Endrin Isodrin,biology
7069,What is (are) algophagy?,Feeding on algae.,biology
7070,What is (are) alitrunk?,"Name given to the thorax plus propodeum of 'wasp-waisted' aculeate Hymenoptera The term is now dated, and seldom used, but it describes the apparent ""thorax"" of bees, wasps, and ants, which actually incorporates the first abdominal segment, which precedes the petiole.",biology
7071,What is (are) alloparenting?,"When individuals other than the parent assist in the caring for that parents offspring. Alloparenting takes many forms, including castes in social insects raising the offspring of reproductives, and slave ant workers feeding the larvae of the slaver species.",biology
7072,What is (are) allopatric?,"Refers to the state when two or more populations, such as different species, or forms of one species have essentially separate distributions. cf. sympatry, parapatric",biology
7073,What is (are) alternating generations?,"When two generations are produced within a life cycle each producing individuals of only one sex, either male first and then female or vice versa.",biology
7074,What is (are) altruistic?,Self-destructive. or potentially self-destructive behavior performed for the benefit of others.,biology
7075,What is (are) alula?,A broad lobe at the proximal posterior margin of the wing stalk of Diptera. Also termed the axillary lobe.,biology
7076,What is (are) ambrosia?,The fungus cultivated by wood-boring beetles of the family Scolytidae.,biology
7077,What is (are) ametabola?,"Originally: The now obsolete subclass of Hexapoda that develop without clearly defined stages of metamorphosis, such as nymph, larva, pupa, adult; namely the Thysanura, Protura, Diplura, and Collembola. Also known as the Apterygota. Subsequently the others have been reclassified as separate from the Insecta, while the Thysanura have been split into the orders Archaeognatha and Zygentoma",biology
7078,What is (are) amide?,"Compound derived from carboxylic acids by replacing the hydroxyl of the -COOH by the amino group, -NH2-.",biology
7079,What is (are) amine?,"An organic compound containing nitrogen, derived from ammonia, NH3, by replacing one or more hydrogen atoms by as many hydrocarbon radicals.",biology
7080,What is (are) amino acid?,"Organic compounds that contain the amino (NH2) group and the carboxyl (COOH) group. Amino acids are the ""building stones"" of proteins.",biology
7081,What is (are) ammonia?,"A colorless alkaline gas, NH3, soluble in water.",biology
7082,What is (are) anal?,Pertaining to last abdominal segment which bears the anus.,biology
7083,What is (are) anal angle?,The posterior corner of the wing (same as tornus).,biology
7084,What is (are) anal fold?,A fold in the inner margin of the hindwing.,biology
7085,What is (are) anal valves?,Exposed claspers at the end of the abdomen.,biology
7086,What is (are) anaplasmosis?,"Infection with Anaplasma, a genus of Sporozoa that infests red blood cells.",biology
7087,What is (are) anasa wilt?,"A wilt disease of cucurbits caused solely by the feeding of the squash bug, no parasitic microorganism involved.",biology
7088,What is (are) androconia?,"(singula = Androconium) In male butterflies, specialised wing scales (often called scent scales) possessing special glands which produce a chemical attractive to females.",biology
7089,What is (are) androconium or androconia (plural)?,"Specialised microscopic scales on the wings of male butterflies, believed to be scent scales for attracting the female.",biology
7090,What is (are) annulate?,Formed in ring-like segments or with ring-like markings. Butterfly antennae shapes,biology
7091,What is (are) anemic?,Deficient in blood quantity or quality.,biology
7092,What is (are) anteclypeus?,the lower (anterior) portion of the clypeus of insects.,biology
7093,What is (are) antennae?,The long feelers situated on the head and close to the eyes. They are however not tactile but used for detecting airborne scents and currents. In Papilionoidea the antennae end in bulging tips called clubs. In Hesperioidea they have hooked tips and the club is found just before the tip. In some Lycaenidae like the genus Liphyra the antenna tapers gradually.,biology
7094,What is (are) antennation?,Touching with the antenna.,biology
7095,What is (are) antenniferous?,"Bearing antennae, as in ""antenniferous tubercle"".",biology
7096,What is (are) antennomere?,"A segment of an antenna. The term antennomere is used in particular when the segments are fairly uniform, as in filiform antennae, but it also may be used in referring to segments of odd sizes, shapes and functions, such as the scape and pedicel. More specific terms may be used where there are distinct antennal regions; for example flagellomeres are the antennomeres comprising the flagellum.",biology
7097,What is (are) anterior?,in front of or after the aforementioned structure.,biology
7098,What is (are) antenodal veins?,"Small cross-veins at the front of the dragonfly or damselfly wing, between the wing base and the nodus.",biology
7099,What is (are) anthophagy?,feeding on flowers.,biology
7100,What is (are) antibiosis?,An association between two or more organisms that is detrimental to one or more of them.,biology
7101,What is (are) anticoagulin?,A substance antagonistic to the coagulation of blood.,biology
7102,What is (are) anus?,The posterior opening of the digestive tract.,biology
7103,What is (are) apex / apical area?,The anterior corner of the wing.,biology
7104,What is (are) apical cell?,The first posterior cell in the wing of Diptera. It is the space between the third and fourth longitudinal vein beyond the anterior crossvein (R5).,biology
7105,What is (are) aphidophagy?,feeding on aphids (and parasitoids of aphids).,biology
7106,What is (are) apitherapy?,Medicinal use of the honey bee or its products.,biology
7107,What is (are) apterygota?,Originally an alternate name for the then recognised subclass Ametabola,biology
7108,What is (are) arculus?,A crossvein between the radius and cubitus near the base of the wing in certain insects.,biology
7109,What is (are) areola?,"1.  A small ring of color 2.  In crayfish, the hourglass pattern on the dorsal surface of the cephalothorax",biology
7110,What is (are) arolium?,A pad-like median lobe between the tarsal claws.,biology
7111,What is (are) base / basal area of wing?,Region close to the point of attachment to the thorax.,biology
7112,What is (are) brand?,"Raised area on the wing surface, circular, ovate, or elongated, which is covered with special scent scales or androconia, found in males of some species. Also called sex mark.",biology
7113,What is (are) bryophagy?,feeding on moss. Distinction between clavate and capitate anatomy of insect antennae,biology
7114,What is (are) capitate?,"Mainly referring to antennae, but occasionally to other anatomical features such as palps: having a clubbed shape with a relatively long, slender stem, but with an abruptly bulkier, thicker, possibly globular distal head, the capitulum. The term capitate is not strictly distinguished from clavate, but where a distinction is desired, it is that the club of a capitate antenna is abruptly distinct from the shaft, and the head tends to be short and more or less globular. The club of a clavate antenna generally is a more or less tapered thickening, sometimes hardly distinct from the shaft.",biology
7115,What is (are) capitulum?,"The head of a capitate structure, such as a capitate antenna, or of a capitate haltere",biology
7116,What is (are) carina?,a keel-like elevation (or ridge) on the body-wall of an insect.,biology
7117,What is (are) catenulate?,Markings consisting of rings connected together like a chain. catenulated antennae Antennae with ringed appearance.,biology
7118,What is (are) cell?,"The central area surrounded by veins. It can be closed by veins or open. The vein forming the boundary of the cell along the costal margin is known as the subcostal vein q.v. The vein forming the lower boundary towards the dorsum is called the median vein. In the case of butterflies, the cell is closed by a vein connecting the origins of veins 6 to 4 along the top of the cell which is known as discocellular vein.",biology
7119,What is (are) ceratophagy (also spelled keratophagy)?,feeding on cornified tissues and hair of animals.,biology
7120,What is (are) cervix?,(Anatomical feature) the structure defining the neck of the insect.,biology
7121,What is (are) chaetosema?,patch of sensory bristles.,biology
7122,What is (are) chalaza?,"An external spine that has a single point. Etymology: Greek chalasa, a tubercle. cf. scolus, which has multiple points.",biology
7123,What is (are) cilia?,Fine hairs along the edges of the wing. Etymology: Latin 'eyelash',biology
7124,What is (are) clasper or clasp?,A structure in male insects that is used to hold the female during copulation. Clavate antenna of a beetle in the family Erotylidae. In this specimen the clavus comprises three segments,biology
7125,What is (are) clava?,Same as clavus.,biology
7126,What is (are) clavate?,"Mainly referring to antennae, but occasionally to other anatomical features such as palps: having a clubbed shape with a relatively long, slender stem, but with a bulkier, thicker distal end, the clava. The term clavate is not strictly distinguished from capitate, but in general, where a distinction is desired, the club of a capitate antenna is abruptly distinct, even globular, whereas the club of a clavate antennae is generally a more or less tapered thickening",biology
7127,What is (are) clavola?,Same as clavus or club,biology
7128,What is (are) clavus?,"1.  The thicker distal end of a clavate anatomical structure such as an antenna. Usually comprising more than one joint. Also called clava, clavola, or club 2.  The posterior of the portion of the remigium found on insect wings. 3.  The oblong sclerite at the base of the inferior margin of the hemelytron in Heteroptera. 4.  The knob at the end of the stigmal or radial veins in the wings of certain Hymenoptera.",biology
7129,What is (are) club?,The popular (possibly to be preferred) name for the clavus of a clavate antenna.,biology
7130,What is (are) clypeus?,"(Anatomical feature) a sclerite structure below the frons, circumposed by the mandibles and above the labrum.",biology
7131,What is (are) coccidophagy?,feeding on scale insects (and parasitoids of scale insects). Terms associated with the wings,biology
7132,What is (are) compound eye?,"An eye consisting of a large number of individual photoreceptor units or ommatidia (ommatidium, singular).Figure 2 d below",biology
7133,What is (are) connexivum or connexiva (plural)?,"(largely in Heteroptera and similarly dorsoventrally flattened insects) the edge of the abdomen, containing the connection between the tergite and sternite. May be visible from above in species such as many of the Reduviidae.",biology
7134,What is (are) copromycetophagy?,inhabiting feces and consuming mycetes growing inside or cultivating them for feeding.,biology
7135,What is (are) coprophagy?,feeding on the excrements of animals.,biology
7136,What is (are) costa / costal area?,The leading edge of the wing.,biology
7137,What is (are) costal break?,Taxonomically important term used in Diptera identification keys. Part of the schema of wing venation. weakenings of the costa (one to three in number). They are flexing points for the wings during flight,biology
7138,What is (are) costal fold?,"A fold in the leading edge of the forewing of Lepidoptera, containing androconia.",biology
7139,What is (are) coronal suture?,"(Anatomical feature) an anterior suture line of the head between the compound eyes, below the median ocellus.",biology
7140,What is (are) coxa?,"first leg segment, between body and trochanter. Cremaster of pupa of the oak owl moth, Griposia aprilina",biology
7141,What is (are) cremaster?,"A general term for a structure by which an object hangs (from Greek language kremastos, meaning ""hung up""); for example in entomology: in some Lepidoptera, including most butterflies, the pupa attaches to a surface by the cremaster, a structure at the tip of the pupal abdomen. The cremaster is the homologue of the anal plate of the caterpillar. It takes various forms in different species, ranging from a simple point, to various arrangements of hooks that catch Velcro-like in a silken pad that the caterpillar spins on the surface before it enters the prepupal phase.",biology
7142,What is (are) crenulate?,Adjective = scalloped. Describes the outer edge of a wing that is convex at the end of each vein and concave in between.,biology
7143,What is (are) decticous?,Functional mandibles present in pupal state.,biology
7144,What is (are) dendrophagy?,feeding on trees.,biology
7145,What is (are) dentate?,As for crenulate but with the projections at the end of each wing being toothlike.,biology
7146,What is (are) detritophagy?,feeding on ground remains of plants and animals.,biology
7147,What is (are) dieldrin?,Aldrin Endrin Isodrin,biology
7148,What is (are) disc / discal area?,The central band passing through the cell.,biology
7149,What is (are) discoidal cell?,"In damselflies (Zygoptera) a basal quadrangular cell in the wing venation, which is delimited by veins MA (anterior side), MP (posterior side), MAb (distal side) and the arculus (basal side).",biology
7150,What is (are) dorsum / dorsal area?,"The trailing edge or hind-margin of the wing, extending from the base to the tornus. Dorsal alternately, also refers to the back, i.e. the upper part of the body, from above.",biology
7151,What is (are) ectognathous?,"(Anatomical feature) having exterior mouthparts, or exposed. A defining feature of insects.",biology
7152,What is (are) elytron?,"(Anatomical feature) the modified, hardened forewing of certain insect orders, notably beetles (Coleoptera) and some of the true bugs (Hemiptera). Beetle in the family Cerambycidae with conspicuous emargination of the compound eye (black) where it extends partway round the base of the antenna",biology
7153,What is (are) emarginate?,"(Anatomical feature) Describing a margin, such as the edge of an eye or sclerite, where the outline includes a concave section as if a part of the region had been ""cut out"" or displaced. It might take the form of a notch, or a rounded or possibly quadrate hollow, such as where a compound eye is distorted in fitting around the base of the antenna.",biology
7154,What is (are) empodium?,"(Anatomical feature) either a bristle-like or pad-like structure between the tarsal claws of various insects, notably Diptera.",biology
7155,What is (are) encapsulation?,the immuno response by plasmatocytes to the presence of parasitoid egg or larvae which results in the formation of a multilayered capsule that causes the parasitoid to sufficate or starve.,biology
7156,What is (are) endrin?,phytotoxicity Dieldrin Aldrin Isodrin,biology
7157,What is (are) entomonecrophagy?,feeding on dead arthropods.,biology
7158,What is (are) entomophagy?,feeding on other insects.,biology
7159,What is (are) epicranius?,"(Anatomical feature) the top of the anterior structure of the head, or forehead.",biology
7160,What is (are) epiproct?,"(Anatomical feature) a plate or projection dorsal to the anus in certain insects, generally on abdominal segment X or XI. For example in Archaeognatha, Zygentoma and Ephemeroptera, it takes the form of a long, rearwardly directed caudal filament resembling the two cerci that flank it. In the Odonata epiprocts have various functions, both in larvae, in which they may have respiratory roles, and in adults, in which they may have reproductive roles. Not all epiprocts in all insect species are homologous. Note that the term is used in other groups than insects as well, for instance Myriapoda.",biology
7161,What is (are) erect?,"The palpi when vertical, i.e. the axis of the palpi is at right angles to the axis of the body.",biology
7162,What is (are) exarate?,"Pupae with their legs and other appendages free and extended. Larva of a species in the family Sphingidae. The large eyespots on the back have no function concerning vision at all; when threatened, the caterpillar retracts its head, leaving the spots resembling either a threat, or as a more tempting target than the vulnerable head. The stemmata are visible as an arc of about four tiny spots slightly lateral to, and above the mouthparts. They are inconspicuous and do have a visual function.",biology
7163,What is (are) eyespots?,"1.  Spots or other patterns resembling vertebrate eyes on the skin, such as on larvae of some Sphingidae or the wings of moths such as many Saturniidae. Such eyespots have no visual function, but act variously to misdirect or discourage attacks from predators. 2.  Simple eyes such as ocelli or stemmata",biology
7164,What is (are) fascia (plural fasciae)?,A color pattern with a broad band.,biology
7165,What is (are) femur?,"third leg segment, between trochanter and tibia.",biology
7166,What is (are) flagellomere?,an antennomere comprising part of the flagellum.,biology
7167,What is (are) flagellum?,"the part of the antenna distal to the pedicel composed of one or more segments, called flagellomeres.",biology
7168,What is (are) foramen magnum?,"(Anatomical feature) the posterior opening of the head capsule, covered by the cervix.",biology
7169,What is (are) forewing?,(Anatomical feature) the pair of wings of a four-winged insect closest to the head.,biology
7170,What is (are) fovea?,"small, pit-like structure in the exoskeleton.",biology
7171,What is (are) frons?,(Anatomical feature) The frontal area of an insect's head. It covers the upper part of the face above the clypeus and below and between the antennae. It supports the pharyngeal dilator muscles and usually bears an ocellus.,biology
7172,What is (are) gena?,"(Anatomical feature) the area below the compound eyes, the insect equivalent to human cheeks.",biology
7173,What is (are) geniculate?,"Elbowed. From the Latin for a bended knee, referring to an organ of a type not always expected to be kinked, but having a definite angular bend or hinge. In entomology the term typically refers to an elbowed antenna. For instance, many species of Hemiptera, Coleoptera, and Hymenoptera have markedly geniculate antennae",biology
7174,What is (are) girdle?,a strand of silk used to prop up the pupa. Found especially in the Papilionidae.,biology
7175,What is (are) glabrous?,"smooth, without hairs or scales.",biology
7176,What is (are) gula?,ventral head sclerite which supports the submentum,biology
7177,What is (are) helminthophagy?,feeding on worms classified with helminths (including parasitoids of helminths).,biology
7178,What is (are) hemocoel?,"the interior of the insects anatomy, including all organs and hemocyte.",biology
7179,What is (are) hemocyte or haemolymph?,"a fluid in the circulatory system of insects containing nutrients, fat, water, etc.",biology
7180,What is (are) hemophagy?,feeding on blood.,biology
7181,What is (are) herbiphagy?,feeding on herbaceous plants.,biology
7182,What is (are) hindwing?,(Anatomical feature) the pair of wings of a four-winged insect furthest from the head.,biology
7183,What is (are) hyaline?,"transparent, like glass.",biology
7184,What is (are) hygropetric?,"mode of life: living in the thin film of water on wet rocks. A fly in the family Vermileonidae, using its hypognathous proboscis to extract nectar from florets.",biology
7185,What is (are) hypognathous?,"having mouthparts that are ventrad of a vertically oriented head, ""pointing downwards"", or having an ""under bit"", instead of pointing backwards or forwards.",biology
7186,What is (are) hypopharynx?,Mouthpart. A tonguelike lobe on the floor of the mouth.,biology
7187,What is (are) idiobiont?,a form of parasitism where the parasitoid paralyzes or leaves the host unable to continue development at oviposition.,biology
7188,What is (are) imago?,"(plural is usually imagines) The final, or adult, stage in metamorphosis. Coreidae: adult male Anoplocnemis with incrassate posterior femur",biology
7189,What is (are) incrassate?,localised thickening of a member such as an antenna or leg.,biology
7190,What is (are) interspace?,The region between adjacent veins.,biology
7191,What is (are) irrorated or irroration?,Old term used usually to indicate a sprinkling of scales interspersed among scales typically of a different color.,biology
7192,What is (are) isodrin?,phytotoxicity Dieldrin Aldrin Endrin,biology
7193,What is (are) keratophagy (also spelt ceratophagy)?,feeding on cornified tissues and hair of animals.,biology
7194,What is (are) koinobiont?,"A form of parasitoidy where the parasitoid lives inside the host while allowing it to live after oviposition. Head of a beetle in the family Cerambycidae; showing the labrum in red, below the clypeus in blue",biology
7195,What is (are) labium?,Mouthpart forming the lower lip. Bears the labial palps.,biology
7196,What is (are) labrum?,"(Anatomical feature) the anterior structure below the clypeus covering some of the mouthparts, sometimes called the ""upper lip"". Diagram of an insect leg",biology
7197,What is (are) lichenophagy?,feeding on lichens.,biology
7198,What is (are) lines of weakness?,(Anatomical feature) the suture lines where the integument will split to allow for molting or autotomy.,biology
7199,What is (are) macrochaete?,large bristles and scales.,biology
7200,What is (are) macropterous?,"Having long or large elytra, as long, or longer than the abdomen.",biology
7201,What is (are) malacophagy?,feeding on mollusks (and parasitoids of mollusks).,biology
7202,What is (are) membranule?,a small triangular opaque region at the base of the hindwing in some dragonflies.,biology
7203,What is (are) mesothorax?,"the middle segment of the thorax, between the prothorax and the metathorax.",biology
7204,What is (are) metalmarks?,small metallic-looking spots commonly found on the wings of Riodinidae.,biology
7205,What is (are) metathorax?,The third and last segment of the thorax after the mesothorax.,biology
7206,What is (are) micropterous?,"Having short elytra, shorter than the abdomen.",biology
7207,What is (are) mixomycetophagy?,feeding on myxomycetes slime molds.,biology
7208,What is (are) myiasis?,Infestation of fly larvae on or in a vertebrate host.,biology
7209,What is (are) mycetophagy?,feeding on fungus.,biology
7210,What is (are) necrophagy?,consuming of dead animals and their remains.,biology
7211,What is (are) nervure?,Older term for vein. adnervural refers to instance lines running adjacent and alongside the veins.,biology
7212,What is (are) nodus?,"(of Odonata ) A prominent cross-vein near the center of the leading edge of a wing. Also called ""node"".",biology
7213,What is (are) obtect?,Appendages fused or glued to the body.,biology
7214,What is (are) ocular structure?,(Anatomical feature) the structure of the head containing the ocelli.,biology
7215,What is (are) onisciform?,"A woodlouse shaped, flattened platyform appearance of a larva.",biology
7216,What is (are) oophagy?,feeding on eggs.,biology
7217,What is (are) opisthognathous?,"with receding mouthparts, or having mouthparts that slope backward or face backward.",biology
7218,What is (are) osmeterium?,"fleshy structure on some larvae, often discharging odorous chemicals.",biology
7219,What is (are) oviposition?,the act of laying eggs.,biology
7220,What is (are) ovipositor?,"structure by which many insects place their eggs, sometimes by piercing or slitting the host or substrate in which she lays the eggs. The structure may be tubular and may have valves.",biology
7221,What is (are) ozadene?,"a stink gland or repugnatorial gland, from which an animal such as an insect or Myriapod may release a foul-smelling liquid or gas for defence",biology
7222,What is (are) palynophagy?,feeding on pollen.,biology
7223,What is (are) parasitoid?,parasite that develops attached to or within a host organism in a relationship which ultimately kills the host.,biology
7224,What is (are) pedipalp (or labial palpi or palpi)?,comparatively large processes that originate from below the head and curve forward in front of the face that sometimes appear like a beak. lp on the figure right.,biology
7225,What is (are) phloeophagy?,feeding on phloem.,biology
7226,What is (are) phyllophagy?,feeding on leaves.,biology
7227,What is (are) phytophagy?,feeding on plants.,biology
7228,What is (are) pleurite?,"A sclerotised region on the lateral part of an insect segment, bearing the spiracle, and separating and connecting the tergite and the sternite (compare: pulmonarium).",biology
7229,What is (are) pollinophagy?,feeding on pollen. Porrect mandibles of antlion larva.,biology
7230,What is (are) porrect?,of organs extended horizontally anterior to the head. In such organs the axis of the organs is parallel to the axis of the body.,biology
7231,What is (are) postclypeus?,the upper (proximal) portion of the clypeus of insects.,biology
7232,What is (are) postdiscal?,"The area, or band, of the wing between the discal area and the marginal area.",biology
7233,What is (are) posterior?,in a position behind or below the aforementioned.,biology
7234,What is (are) postoccipital suture?,"(Anatomical feature) the structure posterior to the occipital suture, surrounding foramen magnum or occipital magnum.",biology
7235,What is (are) proboscis?,tubular feeding and sucking organ.,biology
7236,What is (are) proclinate?,"Directed or leaning forward, such as in bristles in particular locations of insects' heads. Beetles in the family Carabidae, generally have prognathous heads",biology
7237,What is (are) prognathous?,"having mouth parts extended forward of the head, in contrast to opisthognathous and hypognathous.",biology
7238,What is (are) proleg?,fleshy leg like structures arising from the abdominal segments of caterpillars. These prolegs have crochets or curved hooks.,biology
7239,What is (are) prothorax?,The first segment on the thorax anterior to the mesothorax.,biology
7240,What is (are) pterostigma (plural pterostigmata)?,"The prominent cell, usually opaque and coloured, near the tip of each wing of the Odonata, on the anterior margin; also, more loosely, called stigma.",biology
7241,What is (are) pterothorax?,"The meso- and metathorax of winged insects, that carries the two pairs of wings.",biology
7242,What is (are) pulmonarium (plural pulmonaria)?,A membranous instead of a sclerotised connection or pleurite between the abdominal tergites and sternites of certain groups of insects; in such species the pulmonaria bear the spiracles. The term also refers to an abdomen in which the connection between the tergal and sternal sclerites takes the form of a pulmonarial membrane. (Compare: pleurite),biology
7243,What is (are) repugnatorial?,"(generally in combination as in: ""repugnatorial glands""): defensive, or ""fighting back"", in particular as applied to an ozadene, a gland that can release irritant, poisonous, alarming or distasteful fluids or gases when an organism is under threat. Examples of repugnatorial glands include the osmeterium of larvae of the Papilionidae, the stink glands of most Heteroptera, the ozadenes of Opiliones, the odoriferous glands of Diplopoda, and others. Some insects, such as larvae of many species of the Chrysomelidae, use their excreta in repugnatorial roles, for example covering themselves with their own frass.",biology
7244,What is (are) saltatorial?,adapted for leaping or jumping.,biology
7245,What is (are) sarconecrophagy?,feeding on dead bodies of vertebrates.,biology
7246,What is (are) sapromycetophagy?,inhabiting decaying matter and consuming mycetes growing inside or cultivating them for feeding.,biology
7247,What is (are) saprophagy?,feeding on decaying organic matter.,biology
7248,What is (are) schisophagy?,feeding on ground remains of plants and animals.,biology
7249,What is (are) scolus?,"An external spine having multiple points. Etymology: Greek skolos, a prickle. cf. chalaza. plural: scoli",biology
7250,What is (are) sensu?,"Latin term meaning ""in the sense of"".",biology
7251,What is (are) sequestering?,The process of animals accumulating poisonous compounds from the food they are eating in order to become poisonous themselves for their predators. Pyrrolizidine alkaloid sequestration refers to the sequestration of one such class of poisonous compounds.,biology
7252,What is (are) seta?,"A stiff chitinous or sclerotised hair or bristle. Also chaeta, cheta",biology
7253,What is (are) setaceous?,being like or having the nature of a seta or of setae setose,biology
7254,What is (are) setose?,"bearing, or covered in setae.",biology
7255,What is (are) setula?,Diminutive of seta. A small chitinous hair or bristle.,biology
7256,What is (are) setulose?,"bearing, or covered in setulae.",biology
7257,What is (are) spiracle?,Respiratory openings on the thorax and abdomen that allow air to enter the trachea.,biology
7258,What is (are) sporophagy?,feeding on mycet spores.,biology
7259,What is (are) stigma (plural stigmata)?,"Prominent cells on the forewings of some moths. Their size, shape and colour can be useful in identifying some species. Also the prominent cell, usually opaque and coloured, near the tip of each wing of the Odonata, on the anterior margin; also called pterostigma.",biology
7260,What is (are) strigae?,Patterns with thin lines.,biology
7261,What is (are) subgenal suture?,(Anatomical feature) suture lines below the gena.,biology
7262,What is (are) symplesiomorphy?,"a shared ancestral (""primitive"") character state that cannot be used to demonstrate the monophyly of a group.",biology
7263,What is (are) synapomorphy?,a shared homologous and derived character state (evolutionary novelty) that demonstrates the monophyly of a group (clade).,biology
7264,What is (are) synovigenic?,a form of reproduction in which the female continues to produce and to mature eggs throughout its life cycle.,biology
7265,What is (are) tarsus (plural tarsi)?,"fifth (last) leg segment, the part that touches the walking surface.",biology
7266,What is (are) termen?,The edge of the wing most distant from the body.,biology
7267,What is (are) terminal and marginal?,Along the margin.,biology
7268,What is (are) thorax?,"The part of the body that lies between the head and the abdomen. It has three parts - prothorax, mesothorax and metathorax.",biology
7269,What is (are) tibia?,"fourth leg segment, between femur and tarsus.",biology
7270,What is (are) tomentum?,"a pubescence consisting of soft, entangled hairs pressed close to the surface of the integument.",biology
7271,What is (are) tornus / tornal area?,The posterior corner of the wing.,biology
7272,What is (are) trochanter?,"second leg segment, between coxa and femur.",biology
7273,What is (are) trophi?,"The mouthparts of Arthropoda such as insects; typically labrum, mandible, maxilla, labium.",biology
7274,What is (are) trophus?,The singular form of trophi (rarely used).,biology
7275,What is (are) uncate?,"hook-like, as in the mouthparts of many fly larvae. (also uncinate)",biology
7276,What is (are) uncinate?,"hook-like, as in the mouthparts of many fly larvae. (also uncate)",biology
7277,What is (are) unguis (plural ungues)?,the claws at the tip of most insect pretarsi.,biology
7278,What is (are) urite?,a segment or part of the abdomen in insects.,biology
7279,What is (are) urogomphus (plural urogomphi)?,"paired ""horns"" at the posterior tip of the abdomen of larvae.",biology
7280,What is (are) urotergite?,plate on the dorsal (upper) surface of an abdominal segment in insects.,biology
7281,What is (are) valve?,One of several appendages that combine to form the ovipositor of a typical female insect.,biology
7282,What is (are) valvifer?,"In female Heteroptera valvifers comprise four blades, one pair on each of abdominal segments 8 and 9. They articulate with the paratergites and bear their corresponding valvulae.",biology
7283,What is (are) valvula?,"One of four blades in a female Hemipteran with a laciniate type of ovipositor, that combine to form the ovipositing mechanism.",biology
7284,What is (are) vertex?,"(Anatomical feature) The apex of the head, usually containing ocelli.",biology
7285,What is (are) villose?,"covered with numerous thick-set, slender projections resembling short hairs.",biology
7286,What is (are) worker?,"Insects within social colonies (bees, wasps, ants, and termites) that usually do not reproduce and instead perform most of the colony's tasks.",biology
7287,What is (are) xylomycetophagy?,inhabiting wood and consuming mycetes growing in wood or cultivating them for feeding.,biology
7288,What is (are) xylophagy?,feeding on wood.,biology
7289,What is (are) zoomycetophagy?,feeding on fungus found on other animals.,biology
7290,What is (are) adaptation?,1.  The dynamic evolutionary process by which biological organisms develop characteristics that allow them to survive and reproduce within their environments. 2.  The state or condition reached by a population during that process. 3.  Any character or phenotypic trait with a functional role in an individual organism and which has evolved and is maintained through natural selection.,biology
7291,What is (are) adaptationism?,"Also called functionalism. The Darwinian view that many or most physiological and behavioral traits of organisms are adaptations that have evolved for specific functions or for specific reasons (as opposed to being byproducts of the evolution of other traits, consequences of biological constraints, or the result of random variation).",biology
7292,What is (are) adaptive radiation?,"The simultaneous or near-simultaneous evolutionary divergence of multiple members of a single phylogenetic lineage into a variety of different forms with different adaptations, especially a diversification in the use of resources or habitats.",biology
7293,What is (are) agamospecies?,"A species that does not reproduce sexually but rather by cloning. Agamospecies are sometimes represented by species complexes that contain some diploid individuals and other apomictic forms—in particular, plant species that can reproduce via agamospermy.",biology
7294,What is (are) allele?,"One of multiple alternative versions of an individual gene, each of which is a viable DNA sequence occupying a given position, or locus, on a chromosome. For example, in humans, one allele of the eye-color gene produces blue eyes and another allele of the eye-color gene produces brown eyes.",biology
7295,What is (are) allele frequency?,"The relative frequency with which a particular allele of a given gene (as opposed to other alleles of the same gene) occurs at a particular locus in the members of a population; more specifically, it is the proportion of all chromosomes within a population that carry a particular allele, expressed as a fraction or percentage. Allele frequency is distinct from genotype frequency, although they are related.",biology
7296,What is (are) allochronic isolation?,"The isolation of two populations of a species due to a change in breeding periods. This isolation acts as a precursor to allochronic speciation, a type of speciation which results when two populations of a species become isolated due to differences in reproductive timing. An example is the periodical 13- and 17-year Magicicada species.",biology
